gender,year,month,count
0,2014,1,7267
0,2014,2,2
1,2014,1,236073
1,2014,2,33
2,2014,1,57015
2,2014,2,10
0,2014,2,6731
1,2014,2,176512
1,2014,3,14
2,2014,2,41475
2,2014,3,4
0,2014,3,22925
1,2014,3,330542
1,2014,4,26
2,2014,3,85620
2,2014,4,4
0,2014,4,63112
1,2014,4,473393
1,2014,5,2
2,2014,4,134271
2,2014,5,2
0,2014,5,107585
0,2014,6,26
1,2014,5,583621
1,2014,6,75
2,2014,5,174795
2,2014,6,15
0,2014,6,118326
0,2014,7,26
1,2014,6,620892
1,2014,7,57
2,2014,6,197551
2,2014,7,28
0,2014,7,119210
0,2014,8,30
1,2014,7,647390
1,2014,8,76
2,2014,7,202108
2,2014,8,28
0,2014,8,136087
0,2014,9,27
1,2014,8,630600
1,2014,9,56
2,2014,8,196693
2,2014,9,26
0,2014,9,99525
0,2014,10,13
1,2014,9,651442
1,2014,10,50
1,2014,11,1
2,2014,9,202839
2,2014,10,17
0,2014,10,69349
0,2014,11,10
0,2014,12,2
1,2014,10,587203
1,2014,11,35
1,2014,12,1
2,2014,10,172101
2,2014,11,10
0,2014,11,28171
0,2014,12,3
1,2014,11,391702
1,2014,12,27
2,2014,11,109276
2,2014,12,9
0,2014,12,16541
0,2015,1,12
1,2014,12,306124
1,2015,1,15
2,2014,12,76376
2,2015,1,1
0,2015,1,5695
1,2015,1,227745
1,2015,2,19
2,2015,1,52089
2,2015,2,4
0,2015,2,2303
1,2015,2,161546
1,2015,3,17
2,2015,2,33059
2,2015,3,5
0,2015,3,12934
0,2015,4,1
1,2015,3,265822
1,2015,4,27
2,2015,3,63037
2,2015,4,5
0,2015,4,66357
0,2015,5,16
1,2015,4,457530
1,2015,5,54
1,2015,6,1
2,2015,4,128416
2,2015,5,15
2,2015,6,1
0,2015,5,167847
0,2015,6,19
1,2015,5,607981
1,2015,6,26
2,2015,5,186106
2,2015,6,7
0,2015,6,130940
0,2015,7,33
1,2015,6,621514
1,2015,7,77
2,2015,6,188635
2,2015,7,20
0,2015,7,181336
0,2015,8,74
1,2015,7,687157
1,2015,8,98
2,2015,7,216982
2,2015,8,29
0,2015,8,222268
0,2015,9,58
1,2015,8,720677
1,2015,9,50
2,2015,8,235970
2,2015,9,21
0,2015,9,211700
0,2015,10,41
1,2015,9,808471
1,2015,10,87
2,2015,9,269364
2,2015,10,36
0,2015,10,148297
0,2015,11,91
1,2015,10,806963
1,2015,11,134
2,2015,10,256739
2,2015,11,53
0,2015,11,102534
0,2015,12,8
1,2015,11,674645
1,2015,12,57
2,2015,11,209987
2,2015,12,14
0,2015,12,69460
0,2016,1,66
1,2015,12,568198
1,2016,1,33
2,2015,12,166358
2,2016,1,10
0,2016,1,25693
0,2016,2,14
1,2016,1,379266
1,2016,2,48
2,2016,1,104441
2,2016,2,16
0,2016,2,31057
0,2016,3,14
1,2016,2,417178
1,2016,3,38
2,2016,2,112569
2,2016,3,18
0,2016,3,95098
0,2016,4,53
1,2016,3,634116
1,2016,4,103
2,2016,3,190522
2,2016,4,29
0,2016,4,132391
0,2016,5,116
1,2016,4,674028
1,2016,5,104
2,2016,4,206478
2,2016,5,32
0,2016,5,178671
0,2016,6,39
1,2016,5,783627
1,2016,6,96
2,2016,5,249810
2,2016,6,37
0,2016,6,198173
0,2016,7,63
1,2016,6,947327
1,2016,7,137
2,2016,6,314567
2,2016,7,51
0,2016,7,206625
0,2016,8,36
0,2016,9,2
0,2016,10,1
1,2016,7,876311
1,2016,8,56
1,2016,9,1
2,2016,7,297064
2,2016,8,14
0,2016,8,218491
0,2016,9,41
0,2016,10,1
1,2016,8,999439
1,2016,9,102
2,2016,8,339561
2,2016,9,28
0,2016,9,220110
0,2016,10,11
1,2016,9,1056980
1,2016,10,75
2,2016,9,371660
2,2016,10,20
0,2016,10,171886
0,2016,11,31
0,2016,12,2
1,2016,10,1044859
1,2016,11,59
1,2016,12,2
1,2017,1,1
2,2016,10,357012
2,2016,11,19
2,2016,12,1
0,2016,11,100318
0,2016,12,6
1,2016,11,827919
1,2016,12,47
2,2016,11,268636
2,2016,12,16
0,2016,12,42380
0,2017,1,19
1,2016,12,596586
1,2017,1,42
2,2016,12,173149
2,2017,1,16
0,2017,1,31829
0,2017,2,5
0,2017,3,1
1,2017,1,541810
1,2017,2,37
1,2017,3,2
2,2017,1,152981
2,2017,2,11
0,2017,2,52010
0,2017,3,8
1,2017,2,567782
1,2017,3,62
2,2017,2,171768
2,2017,3,17
0,2017,3,35430
0,2017,4,8
1,2017,3,538726
1,2017,4,25
2,2017,3,153468
2,2017,4,8
0,2017,4,172764
0,2017,5,55
0,2017,6,3
0,2017,7,1
1,2017,4,854776
1,2017,5,69
1,2017,6,5
1,2017,7,2
2,2017,4,287700
2,2017,5,26
2,2017,6,2
2,2017,7,1
0,2017,5,177533
0,2017,6,44
0,2017,7,3
1,2017,5,1006151
1,2017,6,126
1,2017,7,3
2,2017,5,339375
2,2017,6,31
2,2017,7,2
0,2017,6,198335
0,2017,7,76
1,2017,6,1131728
1,2017,7,202
2,2017,6,401182
2,2017,7,71
0,2017,7,235155
0,2017,8,39
1,2017,7,1099264
1,2017,8,120
2,2017,7,400995
2,2017,8,26
0,2017,8,232055
0,2017,9,47
1,2017,8,1161826
1,2017,9,185
2,2017,8,422316
2,2017,9,69
0,2017,9,215393
0,2017,10,49
1,2017,9,1218375
1,2017,10,149
2,2017,9,444083
2,2017,10,49
0,2017,10,204417
0,2017,11,24
1,2017,10,1251181
1,2017,11,151
1,2017,12,11
1,2018,1,3
2,2017,10,441735
2,2017,11,62
2,2017,12,6
2,2018,1,2
0,2017,11,95705
0,2017,12,17
1,2017,11,930658
1,2017,12,69
2,2017,11,304178
2,2017,12,20
2,2018,1,2
0,2017,12,43610
0,2018,1,7
1,2017,12,651529
1,2018,1,19
2,2017,12,194792
2,2018,1,10
0,2018,1,29589
0,2018,2,8
0,2018,6,2
1,2018,1,537537
1,2018,2,50
1,2018,4,1
1,2018,9,1
2,2018,1,151792
2,2018,2,14
0,2018,2,40081
0,2018,3,15
0,2018,4,1
0,2018,5,1
0,2018,6,1
1,2018,2,621643
1,2018,3,100
1,2018,4,4
1,2018,8,2
2,2018,2,181231
2,2018,3,34
2,2018,7,1
0,2018,3,61399
0,2018,4,46
0,2018,5,5
0,2018,6,1
0,2018,7,1
1,2018,3,702442
1,2018,4,90
1,2018,5,1
2,2018,3,212652
2,2018,4,32
2,2018,6,1
2,2018,8,1
2,2018,9,1
0,2018,4,123499
0,2018,5,27
0,2018,6,3
1,2018,4,890121
1,2018,5,59
1,2018,6,3
1,2018,8,1
2,2018,4,293802
2,2018,5,24
2,2018,6,3
2,2018,7,1
0,2018,5,199524
0,2018,6,61
0,2018,7,1
0,2018,8,2
0,2018,9,2
1,2018,5,1203582
1,2018,6,225
1,2018,7,8
1,2018,8,1
2,2018,5,421243
2,2018,6,61
0,2018,6,201491
0,2018,7,153
0,2018,8,5
0,2018,9,2
1,2018,6,1281658
1,2018,7,242
1,2018,8,7
1,2018,9,1
2,2018,6,469434
2,2018,7,105
2,2018,8,4
2,2018,9,1
0,2018,7,210728
0,2018,8,71
0,2018,9,1
1,2018,7,1242381
1,2018,8,162
1,2018,9,3
2,2018,7,460229
2,2018,8,50
0,2018,8,205304
0,2018,9,76
1,2018,8,1296116
1,2018,9,196
2,2018,8,475418
2,2018,9,67
0,2018,9,173427
0,2018,10,60
1,2018,9,1240852
1,2018,10,112
2,2018,9,463395
2,2018,10,38
0,2018,10,125596
0,2018,11,46
1,2018,10,1304061
1,2018,11,169
2,2018,10,448733
2,2018,11,52
0,2018,11,67098
0,2018,12,20
1,2018,11,902720
1,2018,12,149
2,2018,11,290332
2,2018,12,36
0,2018,12,46189
0,2019,1,19
1,2018,12,746597
1,2019,1,25
2,2018,12,223662
2,2019,1,13
0,2019,1,34125
0,2019,2,4
1,2019,1,727093
1,2019,2,37
2,2019,1,206016
2,2019,2,12
0,2019,2,36758
0,2019,3,10
1,2019,2,703382
1,2019,3,82
2,2019,2,203497
2,2019,3,15
0,2019,3,71526
0,2019,4,51
1,2019,3,962480
1,2019,4,123
2,2019,3,293748
2,2019,4,32
0,2019,4,138225
0,2019,5,33
1,2019,4,1218411
1,2019,5,140
2,2019,4,409249
2,2019,5,36
0,2019,5,168025
0,2019,6,146
1,2019,5,1293426
1,2019,6,353
2,2019,5,462463
2,2019,6,150
